leaid,ncessch,report_dis,report_race,report_sex,counselors_fte,psych_fte,law_fte
0400420,040042002522,0,0,0,1,0,1
0400420,040042003277,0,0,0,1,0,0
0400423,040042302525,0,0,0,0,0,0
0400424,040042402526,0,0,0,0,0,0
0400425,040042502527,0,0,1,0,0,0
0400426,040042602528,0,0,0,0,0,0
0400427,040042703160,0,0,0,1,0,0
0400429,040042901994,0,0,0,0,0,0
0400432,040043202200,0,0,1,1,0,0
0400432,040043203324,0,0,0,1,0,0
0400438,040043802653,0,0,0,0,0,0
0400439,040043902644,0,0,0,0,0,0
0400440,040044002681,0,1,1,1,0,0
0400441,040044102658,0,0,0,0,0,0
0400442,040044202683,0,0,1,0,0,0
0400444,040044402321,0,0,0,1,1,0
0400445,040044502676,0,0,0,0,0,0
0400446,040044602659,0,0,0,0,0,0
0400447,040044702671,0,0,1,0,0,0
0400448,040044802638,0,0,0,0,0,0
0400450,040045000001,1,0,1,1,1,1
0400450,040045001884,1,1,1,1,1,1
0400450,040045002273,1,0,1,1,1,1
0400450,040045002592,0,1,1,1,1,1
0400459,040045902575,0,0,0,0,1,1
0400463,040046302884,1,1,1,1,1,0
0400463,040046302918,0,0,0,0,1,0
0400463,040046302923,0,0,0,1,1,0
0400480,040048000002,0,0,0,0,0,0
0400480,040048003445,0,0,0,0,0,0
0400520,040052000003,0,1,0,0,0,1
0400520,040052003063,0,1,1,0,0,1
0400600,040060000007,0,0,0,1,1,0
0400600,040060000008,0,0,0,1,1,0
0400600,040060000009,0,0,1,1,1,0
0400600,040060000010,0,0,0,1,1,0
0400600,040060000012,0,0,0,1,1,0
0400600,040060000015,1,1,0,1,1,0
0400600,040060000016,0,0,0,1,1,0
0400600,040060000018,0,0,0,1,1,0
0400600,040060000302,0,1,1,1,1,0
0400600,040060001283,0,0,0,1,0,0
0400600,040060001418,1,1,1,1,1,0
0400600,040060001486,0,0,0,1,1,0
0400600,040060001707,0,0,1,1,1,0
0400600,040060002002,0,1,1,1,1,0
0400608,040060803115,0,1,0,1,0,0
0400610,040061002056,0,0,0,0,0,0
0400610,040061003363,0,0,1,0,0,0
0400614,040061403158,0,0,0,0,0,1
0400616,040061603094,0,0,0,0,0,0
0400618,040061803095,0,0,0,0,0,1
0400619,040061903097,0,1,0,0,0,1
0400621,040062100688,0,0,0,1,0,0
0400621,040062103161,0,0,0,1,0,0
0400625,040062502157,0,0,0,1,0,0
0400626,040062601886,0,0,0,1,0,0
0400630,040063000019,0,0,0,0,0,0
0400632,040063203105,0,1,0,0,1,0
0400633,040063303106,0,0,0,0,0,0
0400633,040063303536,0,0,0,0,0,0
0400636,040063603108,0,0,0,1,0,0
0400636,040063603163,0,0,0,1,0,0
0400637,040063702032,0,0,0,0,0,0
0400638,040063801796,0,0,0,0,0,0
0400638,040063803360,0,0,0,0,0,0
0400638,040063803456,0,0,0,0,0,0
0400640,040064002031,0,0,0,1,0,0
0400640,040064003569,0,0,0,1,0,0
0400641,040064102881,0,0,0,0,0,0
0400649,040064902846,0,0,0,0,0,0
0400649,040064903114,0,0,0,0,0,0
0400650,040065001846,0,0,0,0,0,0
0400653,040065303004,0,0,0,0,0,0
0400653,040065303069,0,0,0,0,0,0
0400655,040065503096,1,1,0,1,0,0
